question,answer
Где купить отопительные печи для дома или дачи?,"Заказать дровяные, угольные и газовые отопительные печи можно напрямую в интернет‑магазине LiteikaPro в разделе «Печи‑отопительные»; товары доставляются по всей России или доступны к самовывозу. "
Как связаться с LiteikaPro по вопросам отопительных печей?,"Позвоните +7 (926) 282‑22‑86 или +7 (495) 664‑49‑89, напишите на mail@liteikapro.ru либо приезжайте в офис/склад в Балашихе (Московская обл., мкр‑н Саввино, ул. Промышленная 46 и 44). "
Какие виды отопительных печей есть в каталоге LiteikaPro?,"В каталоге представлены стальные и чугунные модели, печи с водяным контуром, с варочной плитой, длительного горения и классические конвекционные «буржуйки». "
Как подобрать мощность отопительной печи по площади дома?,"LiteikaPro ориентируется на пример: печь‑камин 15 кВт обогревает до 150 м² (≈ 375 м³), а модель 5 кВт подходит для помещений до 70 м², то есть берут порядка 1 кВт на 10 м². "
Что такое режим длительного горения в печах?,"Режим длительного горения уменьшает подачу воздуха, поэтому одна закладка дров тлеет дольше, обеспечивая отопление без частых подбросов топлива и повышая экономичность. "
Что такое отопительно‑варочная печь с водяным контуром Ермак Stoker АКВА и сколько она стоит?,"Ермак Stoker АКВА — печь‑плита мощностью 11,5 кВт с встроенным теплообменником для радиаторов; она обогревает до 170 м³ и стоит около 30 192 ₽. "
Что такое печь Везувий Комфорт 100 и сколько она стоит?,"Везувий Комфорт 100 (ДТ‑3) — компактная чугунная печь мощностью 6 кВт (дымоход Ø 115 мм, габариты 500×400×594 мм); цена около 20 790 ₽. "
Что такое печь Везувий В9С и сколько она стоит?,Чугунная печь‑конвектор Везувий В9С мощностью 9 кВт обогревает до 140 м³; стоимость — порядка 27 000 ₽. 
Что такое печь Теплодар «ТОП‑Модель‑140» и сколько она стоит?,«ТОП‑Модель‑140» — стальная печь Теплодар для помещений 70‑140 м³; базовая версия со стальной дверцей стоит около 23 480 ₽. 
Что такое печь Бренеран АОТ‑08 тип 005 и сколько она стоит?,Бренеран АОТ‑08 — газогенераторная «буржуйка» с конвекционными трубами для быстрого прогрева; цена около 34 440 ₽. 
Что такое печь Везувий В8 и сколько она стоит?,Везувий В8 — компактная отопительная печь‑конвектор для помещений до 120 м³; цена начинается примерно с 16 590 ₽. 
Что такое печь‑камин Ferguss Zeus Legs и сколько она стоит?,Ferguss Zeus Legs — чугунная печь‑камин мощностью 10 кВт на объём до 220 м³; стоит около 73 508 ₽. 
Чем чугунные печи лучше стальных?,"По данным блога LiteikaPro, чугунные печи служат более 20 лет благодаря стенкам толщиной 10–60 мм и дольше удерживают тепло, тогда как сталь остывает быстрее. "
Для какого помещения подойдёт печь‑камин 5 кВт?,"Модели 5 кВт рассчитаны на отопление до 70 м², обеспечивая комфортный микроклимат в небольших домах и дачах. "
Что такое отопительно‑варочная печь мощностью 11 кВт и сколько она стоит?,"Отопительно‑варочная печь (мощность 11 кВт, дымоход Ø 115 мм) совмещает обогрев и готовку; типовая цена — около 24 190 ₽. "
Что такое печь‑камин Liseo Premium и сколько она стоит?,Liseo Premium — чугунная печь‑камин на объём до 240 м³; её цена около 69 403 ₽. 
Где купить печи‑камины?,Все модели чугунных и стальных печей‑каминов можно заказать на LiteikaPro в разделе «Печи‑камины» с доставкой по РФ или самовывозом из Балашихи.
Как связаться с LiteikaPro по поводу печей‑каминов?,"Телефон +7 (926) 282‑22‑86, e‑mail mail@liteikapro.ru, офис и склад: Московская обл., Балашиха, мкр. Саввино, ул. Промышленная 46 и 44 (пн‑пт 9:30‑18:00)."
Какие типы печей‑каминов представлены?,"В каталоге есть классические конвекционные, отопительно‑варочные, модели с водяным контуром и панорамным стеклом."
В чём преимущества печи‑камина перед открытым камином?,"Закрытая топка даёт КПД до 80 %, снижает расход дров и безопасна благодаря жаропрочному стеклу."
Как выбрать мощность печи‑камина?,"Ориентируйтесь: 1 кВт на 25 м³; например, 7 кВт хватит на дом 40–45 м² с потолком 2,7 м."
Чем чугунные печи‑камины лучше стальных?,"Чугун 6–12 мм долго держит тепло и не прогорает; сталь легче и дешевле, но быстрее остывает."
Что такое печь‑камин Thorma Verona и сколько она стоит?,"Thorma Verona 7 кВт: для помещения до 90 м², цена ≈ 83 000 ₽."
Что такое печь‑камин Kratki Koza K9 и сколько она стоит?,Kratki Koza K9 — чугунная модель 13 кВт на объём до 200 м³; стоит ≈ 108 000 ₽.
Что такое печь‑камин Везувий Легенда и сколько она стоит?,Везувий «Легенда» 9 кВт рассчитана на 140 м³; цена ≈ 59 900 ₽.
Нужен ли отдельный фундамент под печь‑камин?,Для большинства бытовых моделей весом до 150 кг достаточно негорючей площадки из плитки или стекломагнезита.
Что такое система «чистое стекло»?,"Подача вторичного воздуха омывает стекло, предотвращая сажу и сохраняя обзор огня."
Можно ли подключить печь‑камин к системе водяного отопления?,"Да, для моделей с котловым контуром: теплообменник подключается к радиаторам через циркуляционный насос."
Что такое печное литьё?,"Это чугунные элементы для печей: дверцы топочные и поддувальные, колосники, варочные кольца и чугунные плиты."
Где купить печное литьё?,Все позиции — в разделе «Печное литьё» на LiteikaPro; доступны доставкой и самовывозом.
Плюсы чугунных колосников?,"Чугун выдерживает 800 °С и не коробится, обеспечивая надёжную тягу и долгий срок службы."
Как выбрать размер топочной дверцы?,"Подбирайте по проёму кирпичной кладки: например, стандарт 270×300 мм подойдёт для большинства банных печей."
Сколько стоит дверца ДТ‑4?,"Чугунная дверца ДТ‑4 (300×320 мм, стекло) стоит ≈ 4 200 ₽."
Зачем нужны варочные чугунные плиты?,Они позволяют готовить пищу на дровах и равномерно распределяют тепло по кастрюле.
Цены на чугунные плиты 700×400 мм?,Плита ПЧ‑1 стоит ≈ 3 450 ₽.
Как монтировать колосник?,Колосник укладывают на шамотный кирпич с зазором по периметру 5 мм на тепловое расширение.
Нужна ли покраска печного литья?,Заводское литьё защищено термостойким лаком; дополнительная покраска не требуется.
Как чистить дверцу со стеклом?,"Используйте средство для печных стёкол или зольный раствор, не скребите абразивами."
Что такое плитка из натурального камня для печей?,"Это облицовочные плиты из талькохлорита, змеевика, кварцита и др., выдерживающие нагрев до 1000 °С."
Где купить каменную плитку для печи?,В LiteikaPro раздел «Плитка из натурального камня» предлагает наборы по площади и штучно.
Зачем облицовывать печь камнем?,"Камень повышает теплоёмкость, выравнивает температуру и придаёт эстетичный вид."
Какие размеры плитки бывают?,"Ходовые форматы: 600×300×30 мм, 300×300×20 мм, 600×150×20 мм."
Цена талькохлоритовой плитки 600×300×30 мм?,≈ 980 ₽ за шт.
Как крепить натуральную плитку на печь?,Используют термостойкий клей до 1100 °С и армированную сетку; швы заполняют жаростойкой затиркой.
"Сколько плитки нужно на печь 0,8 × 0,8 × 1 м?","Площадь боковых стен и верха ≈ 3 м²; с запасом берут 3,3 м²."
Можно ли комбинировать разные камни?,"Да, талькохлорит сочетают с малиновым кварцитом для контраста."
Как ухаживать за каменной облицовкой?,Достаточно сухой щётки; не используйте кислотные чистящие средства.
Что даёт теплоаккумуляция талькохлорита?,"Печь остывает на 4–5 часов дольше, медленно отдавая мягкое инфракрасное тепло."
Что такое чугунная плитка для печи?,"Это секционные плиты из литого чугуна толщиной 8 мм, которыми облицовывают печи‑камины для лучшего излучения тепла."
Преимущества чугунной облицовки?,"Чугун долговечен, равномерно нагревается и не боится влаги; поверхность легко чистится."
Где купить чугунную плитку?,В LiteikaPro раздел «Плитка чугунная».
Размеры типовой чугунной плитки?,"200×200, 300×300 и узкие доборные 100×300 мм."
Сколько стоит плитка 300×300 мм?,≈ 360 ₽ за шт.
Как крепить чугунную плитку к печи?,На каркас‑рельсы из уголка 25×25 мм с тепловым зазором 3–5 мм между плитами.
Можно ли красить чугунную плитку?,"Допустима термокраска до 800 °С, но заводское графитовое покрытие уже стойкое."
Нагревается ли чугун быстрее камня?,"Да, до рабочей температуры 200 °С за ~30 мин против 1–1,5 часа у камня."
Вес облицовки 1 м²?,Около 55 кг при толщине 8 мм.
Как сочетается чугунная плитка с конвекцией?,"Между плитой и корпусом оставляют 5 мм для движения воздуха, поддерживая конвекционный поток."
Что такое портал для банной печи?,"Это декоративно‑защитный проходной узел, отделяющий топочную зону от парной и формирующий красивый проём под дверцу."
Зачем нужен портал?,"Он изолирует перегородку, упрощает монтаж дверцы и придаёт интерьеру завершённый вид."
Материалы порталов LiteikaPro?,"Чугун 20 мм, жаростойкая сталь 3 мм с каменной облицовкой, либо талькохлорит."
Какие размеры типовые?,"Ширина 500–700 мм, высота 700–900 мм, глубина 150–250 мм."
Сколько стоит чугунный портал «Президент‑550»?,≈ 17 200 ₽.
Как установить портал?,"Вырезают проём в стене, фиксируют портал анкерами, заполняют зазор базальтовой ватой."
Нужен ли теплоизоляционный зазор?,"Да, оставляют не менее 50 мм между чугуном и деревянной стеной."
Может ли портал служить прочистной дверцей?,"Да, некоторые модели имеют ревизионное отверстие."
Какие облицовки доступны?,"Талькохлорит «светлый» и «тёмный», малиновый кварцит."
Что входит в комплект поставки?,"Рамка, декоративный экран, крепёж, инструкция."
Что такое термозащита для печи?,"Это негорючие панели и экраны, уменьшающие пожарные отступы от печи до стен и пола."
Виды термозащиты LiteikaPro?,"Базальтовые плиты 50 мм, экран‑щит из AISI 430, стекломагнезитовые листы."
Зачем нужен защитный экран из нержавейки?,"Он отражает инфракрасное излучение, снижая нагрев стены до безопасных 80 °С."
Размеры экранов пола?,Стандарт 800×1000 мм и 1000×1200 мм.
"Цена экрана 800×1000 мм AISI 430 0,5 мм?",≈ 1 250 ₽.
Как крепить базальтовую плиту?,На клей Mastamil и грибовидные дюбеля к кирпичной или каркасной стене.
Что такое СМЛ лист?,Стекломагнезитовая плита 10 мм: негорючий материал группы НГ‑0 с температурой применения до 1200 °С.
Можно ли покрасить экран?,Используется термостойкая эмаль до 600 °С в любом цвете.
Какой зазор нужен между экраном и стеной?,Оставляют воздушный промежуток 25 мм для вентиляции.
Срок службы базальтовой плиты?,Не менее 30 лет при отсутствии прямого увлажнения.
